,Unnamed: 0,id,city,code,name,urlKey,budget,tag,tags,rating,reviewNumber,discounts,is_premium,is_promoted,chain.id,chain.name,chain.url_key,chain.is_accepting_global_vouchers,chain.code,chain.main_vendor_code,characteristics.cuisines,characteristics.food_characteristics,characteristics.primary_cuisine.id,characteristics.primary_cuisine.name,characteristics.primary_cuisine.url_key,characteristics.primary_cuisine.main,lat,long,street_address,Unnamed: 0.1,@id,address.streetAddress,address.addressLocality,geo.latitude,geo.longitude,potentialAction.priceSpecification.price
384,384,22546.0,lahore,n7ow,Home Menu - Gulberg,home-menu-gulberg,2.0,Top Rated,"[{'code': 'FREETEXT', 'text': 'Top Rated'}]",4.6,918.0,[],False,False,,,,,,,['pakistani'],"[{'id': 110, 'name': 'Paratha', 'is_halal': False, 'is_vegetarian': False}, {'id': 222, 'name': 'Ramadan deals', 'is_halal': False, 'is_vegetarian': False}, {'id': 114, 'name': 'Karahi', 'is_halal': False, 'is_vegetarian': False}, {'id': 227, 'name': 'Ramadan Takeaway', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",139.0,Pakistani,pakistani,True,,,,384,https://www.foodpanda.pk/restaurant/n7ow/home-menu-gulberg,House No. 4 Street No 1 Model Colony Firdous Market Gulberg,Lahore,31.499742,74.350303,156.0
385,385,54813.0,lahore,h8ru,Delica Food,delica-food,3.0,,[],4.2,34.0,[],False,False,,,,,,,['cakes-and-bakery'],"[{'id': 221, 'name': 'Bumper deals', 'is_halal': False, 'is_vegetarian': False}, {'id': 222, 'name': 'Ramadan deals', 'is_halal': False, 'is_vegetarian': False}, {'id': 227, 'name': 'Ramadan Takeaway', 'is_halal': False, 'is_vegetarian': False}, {'id': 229, 'name': 'Festive Deals', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",77.0,Cakes & Bakery,cakes-and-bakery,True,,,,385,https://www.foodpanda.pk/restaurant/h8ru/delica-food,"near Al rehman masjid Academy Road, Gulbahar Colony, Lahore, Punjab, Pakistan",Lahore,31.5003854,74.35900440000002,325.33
386,386,51269.0,lahore,z7ph,Al Bait,al-bait,2.0,,[],4.0,213.0,[],False,False,,,,,,,"['fast-food', 'non-alcoholic-drinks', 'burgers', 'sandwiches', 'pizza']","[{'id': 99, 'name': 'Wraps', 'is_halal': False, 'is_vegetarian': False}, {'id': 221, 'name': 'Bumper deals', 'is_halal': False, 'is_vegetarian': False}, {'id': 68, 'name': 'Fried Chicken', 'is_halal': False, 'is_vegetarian': False}, {'id': 222, 'name': 'Ramadan deals', 'is_halal': False, 'is_vegetarian': False}, {'id': 58, 'name': 'Chicken', 'is_halal': False, 'is_vegetarian': False}, {'id': 148, 'name': 'Chips', 'is_halal': False, 'is_vegetarian': False}, {'id': 227, 'name': 'Ramadan Takeaway', 'is_halal': False, 'is_vegetarian': False}, {'id': 119, 'name': 'Roll Paratha', 'is_halal': False, 'is_vegetarian': False}, {'id': 229, 'name': 'Festive Deals', 'is_halal': False, 'is_vegetarian': False}, {'id': 65, 'name': 'Fast Food', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",86.0,Fast Food,fast-food,True,,,,386,https://www.foodpanda.pk/restaurant/z7ph/al-bait,"Nishat Colony Main Rd, Nishat Colony, Lahore, Punjab",Lahore,31.49446284,74.3873694,611.48
387,387,28323.0,lahore,v6bm,Grayene,grayene,3.0,,[],3.4,11.0,[],False,False,,,,,,,"['chinese', 'fast-food']","[{'id': 99, 'name': 'Wraps', 'is_halal': False, 'is_vegetarian': False}, {'id': 67, 'name': 'Fish', 'is_halal': False, 'is_vegetarian': False}, {'id': 227, 'name': 'Ramadan Takeaway', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",86.0,Fast Food,fast-food,True,,,,387,https://www.foodpanda.pk/restaurant/v6bm/grayene,"WB Mall 6-C-3 Noor Jahan Road,Gulberg 3, Lahore",Lahore,31.508334100000003,74.34645909999999,1336.14
388,388,60971.0,lahore,jjb8,Sam Pizza Garden,sam-pizza-garden,3.0,Fast Delivery,"[{'code': 'FREETEXT', 'text': 'Fast Delivery'}]",4.2,439.0,[],False,False,,,,,,,"['non-alcoholic-drinks', 'pakistani', 'burgers', 'pizza']","[{'id': 99, 'name': 'Wraps', 'is_halal': False, 'is_vegetarian': False}, {'id': 227, 'name': 'Ramadan Takeaway', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",139.0,Pakistani,pakistani,True,,,,388,https://www.foodpanda.pk/restaurant/jjb8/sam-pizza-garden,"Shop#5/18, Saman arcade , firdos market ,Gulberg 3 ,Lahore",Lahore,31.5025411,74.34904809999999,472.17
389,389,47830.0,lahore,x1uz,Juices Island-Fortress,juices-island-fortress,3.0,,[],3.7,10.0,[],False,False,,Juices Island - Lyallpur Galleria,juices-island-lyallpur-galleria,,ch1ff,n7id,"['non-alcoholic-drinks', 'healthy-food']","[{'id': 145, 'name': 'Shakes', 'is_halal': False, 'is_vegetarian': False}, {'id': 106, 'name': 'Ice Cream Shakes', 'is_halal': False, 'is_vegetarian': False}, {'id': 227, 'name': 'Ramadan Takeaway', 'is_halal': False, 'is_vegetarian': False}, {'id': 108, 'name': 'Juices', 'is_halal': False, 'is_vegetarian': False}, {'id': 109, 'name': 'Lassi', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",133.0,Healthy Food,healthy-food,True,,,,389,https://www.foodpanda.pk/restaurant/x1uz/juices-island-fortress,Square mall food court fortress stadium Mall Road Lahore,Lahore,31.532512,74.3632199,210.0
390,390,20854.0,lahore,n3pd,Freshies,freshies,3.0,,[],3.6,57.0,[],False,False,,,,,,,"['pakistani', 'italian']","[{'id': 110, 'name': 'Paratha', 'is_halal': False, 'is_vegetarian': False}, {'id': 114, 'name': 'Karahi', 'is_halal': False, 'is_vegetarian': False}, {'id': 227, 'name': 'Ramadan Takeaway', 'is_halal': False, 'is_vegetarian': False}, {'id': 80, 'name': 'Pasta', 'is_halal': False, 'is_vegetarian': False}, {'id': 65, 'name': 'Fast Food', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",139.0,Pakistani,pakistani,True,,,,390,https://www.foodpanda.pk/restaurant/n3pd/freshies,"Freshies, House no 438/4 E, street no 4, Madina Colony Walton Cantt Lahore.",Lahore,31.493469,74.360109,467.86
391,391,55550.0,lahore,o7cb,The Chef's Grill,the-chefs-grill,2.0,,[],4.2,125.0,[],False,False,,,,,,,"['fast-food', 'burgers']","[{'id': 56, 'name': 'BBQ', 'is_halal': False, 'is_vegetarian': False}, {'id': 58, 'name': 'Chicken', 'is_halal': False, 'is_vegetarian': False}, {'id': 227, 'name': 'Ramadan Takeaway', 'is_halal': False, 'is_vegetarian': False}, {'id': 119, 'name': 'Roll Paratha', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",86.0,Fast Food,fast-food,True,,,,391,https://www.foodpanda.pk/restaurant/o7cb/the-chefs-grill,Shop#34 Jinnah plaza new super town link 1 main boulevard DHA Lahore,Lahore,31.49424422,74.37586007,398.36
392,392,65999.0,lahore,i36h,Feast on Wheels,feast-on-wheels,3.0,Discount 15%,"[{'code': 'DEAL', 'text': 'Discount 15%'}, {'code': 'FREETEXT', 'text': 'Promoted'}]",4.5,64.0,[],False,False,,,,,,,"['fast-food', 'sandwiches']","[{'id': 222, 'name': 'Ramadan deals', 'is_halal': False, 'is_vegetarian': False}, {'id': 84, 'name': 'Rice', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",86.0,Fast Food,fast-food,True,,,,392,https://www.foodpanda.pk/restaurant/i36h/feast-on-wheels,"31-Industrial AreaØ Gurumangat Rd, Gulberg III, Lahore",Lahore,31.5052735,74.3578848,357.0
393,393,43889.0,lahore,d3ab,Royal Biryani and BBQ,royal-biryani-and-bbq,3.0,,[],3.3,110.0,[],False,False,,,,,,,"['non-alcoholic-drinks', 'pakistani']","[{'id': 176, 'name': 'Pulao', 'is_halal': False, 'is_vegetarian': False}, {'id': 146, 'name': 'Kabab', 'is_halal': False, 'is_vegetarian': False}, {'id': 147, 'name': 'Biryani', 'is_halal': False, 'is_vegetarian': False}, {'id': 227, 'name': 'Ramadan Takeaway', 'is_halal': False, 'is_vegetarian': False}, {'id': 84, 'name': 'Rice', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",139.0,Pakistani,pakistani,True,,,,393,https://www.foodpanda.pk/restaurant/d3ab/royal-biryani-and-bbq,"near fine medical store Rifle Range Rd, Super Town Lahore, Punjab",Lahore,31.492424,74.372649,288.46
