,Unnamed: 0,id,city,code,name,urlKey,budget,tag,tags,rating,reviewNumber,discounts,is_premium,is_promoted,chain.id,chain.name,chain.url_key,chain.is_accepting_global_vouchers,chain.code,chain.main_vendor_code,characteristics.cuisines,characteristics.food_characteristics,characteristics.primary_cuisine.id,characteristics.primary_cuisine.name,characteristics.primary_cuisine.url_key,characteristics.primary_cuisine.main,lat,long,street_address,Unnamed: 0.1,@id,address.streetAddress,address.addressLocality,geo.latitude,geo.longitude,potentialAction.priceSpecification.price,cluster,centroids
237,237,67685.0,islamabad,l9hk,Signature Chef,signature-chef,2.0,FLAT 25% OFF,"[{'code': 'DEAL', 'text': 'FLAT 25% OFF'}]",4.0,18.0,[],False,False,,,,,,,"[{'id': 89, 'name': 'Non-alcoholic Drinks', 'url_key': 'non-alcoholic-drinks', 'main': False}, {'id': 139, 'name': 'Pakistani', 'url_key': 'pakistani', 'main': True}]",[],139.0,Pakistani,pakistani,True,,,,237,https://www.foodpanda.pk/restaurant/l9hk/signature-chef,"House#735, First Floor, Ibn-e-sina Road, G11/2",Islamabad,33.6722694,72.9884708,160.5,0,0
238,238,64721.0,islamabad,oibg,DESI SHASHKY,desi-shashky,1.0,,[],4.3,16.0,[],False,False,,,,,,,"[{'id': 89, 'name': 'Non-alcoholic Drinks', 'url_key': 'non-alcoholic-drinks', 'main': False}, {'id': 85, 'name': 'Burgers', 'url_key': 'burgers', 'main': False}, {'id': 86, 'name': 'Fast Food', 'url_key': 'fast-food', 'main': True}]","[{'id': 84, 'name': 'Rice', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",86.0,Fast Food,fast-food,True,,,,238,https://www.foodpanda.pk/restaurant/oibg/desi-shashky,"Khalid Bin Waleed Rd, Services Society SCHS E 11/2 E-11, Islamabad, Islamabad Capital Territory, Pakistan",Islamabad,33.6999167,72.9726939,284.08,1,0
239,239,5904.0,islamabad,s7qf,The Uzbek Lady,the-uzbek-lady,1.0,,[],3.2,38.0,[],False,False,,,,,,,"[{'id': 99, 'name': 'Turkish', 'url_key': 'turkish', 'main': True}]","[{'id': 227, 'name': 'Ramadan Takeaway', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",99.0,Turkish,turkish,True,,,,239,https://www.foodpanda.pk/restaurant/s7qf/the-uzbek-lady,"F11/2 Steer 33, house # 355D",Islamabad,33.6833653,72.9837199,480.0,3,0
240,240,7079.0,islamabad,s2vf,Boom Boom Hot & Spicy - G11,boom-boom-hot-and-spicy-g11,2.0,Fast Delivery,"[{'code': 'FREETEXT', 'text': 'Fast Delivery'}]",4.2,2776.0,[],False,False,,Boom Boom,boom-boom,,cf2qz,s2vf,"[{'id': 86, 'name': 'Fast Food', 'url_key': 'fast-food', 'main': True}]","[{'id': 227, 'name': 'Ramadan Takeaway', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",86.0,Fast Food,fast-food,True,,,,240,https://www.foodpanda.pk/restaurant/s2vf/boom-boom-hot-and-spicy-g11,"Shop # 4, Farhan Plaza G-11 Markaz Islamabad",Islamabad,33.669561,72.998813,901.39,0,0
241,241,11400.0,islamabad,t1xm,Super In Style Cafe,super-in-style-cafe-1133-1,2.0,,[],3.8,298.0,[],False,False,,,,,,,"[{'id': 139, 'name': 'Pakistani', 'url_key': 'pakistani', 'main': True}]","[{'id': 223, 'name': 'Coke deals', 'is_halal': False, 'is_vegetarian': False}, {'id': 227, 'name': 'Ramadan Takeaway', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",139.0,Pakistani,pakistani,True,,,,241,https://www.foodpanda.pk/restaurant/t1xm/super-in-style-cafe-1133-1,"Askan palaza,shop number 8,E-11/1 Markaz islamabad",Islamabad,33.6951721,72.97015309999999,206.75,1,0
242,242,36829.0,islamabad,w7xp,Dil Se Desi,dil-se-desi,3.0,,[],4.2,358.0,[],False,False,,,,,,,"[{'id': 89, 'name': 'Non-alcoholic Drinks', 'url_key': 'non-alcoholic-drinks', 'main': False}, {'id': 139, 'name': 'Pakistani', 'url_key': 'pakistani', 'main': True}]","[{'id': 56, 'name': 'BBQ', 'is_halal': False, 'is_vegetarian': False}, {'id': 221, 'name': 'Bumper deals', 'is_halal': False, 'is_vegetarian': False}, {'id': 114, 'name': 'Karahi', 'is_halal': False, 'is_vegetarian': False}, {'id': 147, 'name': 'Biryani', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",139.0,Pakistani,pakistani,True,,,,242,https://www.foodpanda.pk/restaurant/w7xp/dil-se-desi,Riwayat restaurant Al hameed shopping mall Near D Watson G-11 markaz islamabad,Islamabad,33.669923,72.999492,496.64,0,0
243,243,60689.0,islamabad,p7bu,Rahat Pizza,rahat-pizza-2,3.0,,[],3.3,19.0,[],False,False,,,,,,,"[{'id': 89, 'name': 'Non-alcoholic Drinks', 'url_key': 'non-alcoholic-drinks', 'main': False}, {'id': 73, 'name': 'Pizza', 'url_key': 'pizza', 'main': False}, {'id': 85, 'name': 'Burgers', 'url_key': 'burgers', 'main': False}, {'id': 75, 'name': 'Asian', 'url_key': 'asian', 'main': True}]","[{'id': 99, 'name': 'Wraps', 'is_halal': False, 'is_vegetarian': False}, {'id': 58, 'name': 'Chicken', 'is_halal': False, 'is_vegetarian': False}, {'id': 227, 'name': 'Ramadan Takeaway', 'is_halal': False, 'is_vegetarian': False}, {'id': 65, 'name': 'Fast Food', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",75.0,Asian,asian,True,,,,243,https://www.foodpanda.pk/restaurant/p7bu/rahat-pizza-2,"Shop#24,Basment plot#1,capital plaza G-11 Markaz,islamabad",Islamabad,33.667305600000006,72.99763890000001,526.32,0,0
244,244,67069.0,islamabad,d0fo,Karachi Darbar,karachi-darbar-d0fo,3.0,,[],4.3,37.0,[],False,False,,,,,,,"[{'id': 139, 'name': 'Pakistani', 'url_key': 'pakistani', 'main': True}]","[{'id': 177, 'name': 'Haleem', 'is_halal': False, 'is_vegetarian': False}, {'id': 114, 'name': 'Karahi', 'is_halal': False, 'is_vegetarian': False}, {'id': 84, 'name': 'Rice', 'is_halal': False, 'is_vegetarian': False}]",139.0,Pakistani,pakistani,True,,,,244,https://www.foodpanda.pk/restaurant/d0fo/karachi-darbar-d0fo,"Glora, Shop 3, Babo G Shopping Mall, near to Golra post office,Sector E-11",Islamabad,33.68979782,72.97526847,467.0,1,0
245,245,36878.0,islamabad,w6rg,Arabic King Shawarma,arabic-king-shawarma,2.0,Discount 40%,"[{'code': 'DEAL', 'text': 'Discount 40%'}]",4.0,685.0,[],False,False,,,,,,,"[{'id': 139, 'name': 'Pakistani', 'url_key': 'pakistani', 'main': True}, {'id': 71, 'name': 'Sandwiches', 'url_key': 'sandwiches', 'main': False}]","[{'id': 99, 'name': 'Wraps', 'is_halal': False, 'is_vegetarian': False}, {'id': 123, 'name': 'Arabic', 'is_halal': False, 'is_vegetarian': False}, {'id': 58, 'name': 'Chicken', 'is_halal': False, 'is_vegetarian': False}, {'id': 227, 'name': 'Ramadan Takeaway', 'is_halal': False, 'is_vegetarian': False}, {'id': 65, 'name': 'Fast Food', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",139.0,Pakistani,pakistani,True,,,,245,https://www.foodpanda.pk/restaurant/w6rg/arabic-king-shawarma,"Shop 1, near Allied Bank, F-11 Markaz",Islamabad,33.683104,72.988072,136.8,3,0
246,246,66362.0,islamabad,n46w,Chen's Kitchen,chens-kitchen,3.0,,[],4.2,12.0,[],False,False,,,,,,,"[{'id': 82, 'name': 'Seafood', 'url_key': 'seafood', 'main': False}, {'id': 75, 'name': 'Asian', 'url_key': 'asian', 'main': True}]","[{'id': 222, 'name': 'Ramadan deals', 'is_halal': False, 'is_vegetarian': False}, {'id': 90, 'name': 'Soup', 'is_halal': False, 'is_vegetarian': False}, {'id': 84, 'name': 'Rice', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",75.0,Asian,asian,True,,,,246,https://www.foodpanda.pk/restaurant/n46w/chens-kitchen,Chen's kitchen 31-k street 73 F-11/1 near tariq heights Islamabad,Islamabad,33.6807388,72.98816529999999,607.86,3,0
